,Turkey,Germany,Poland,Greece,Romania,USD_TRY,TCMB_Rate,USD_TRY_Change
2020-02-01,171.71,80.14,69.95,82.5,68.76,6.9967,12.75,0.011254080303801837
2020-03-01,172.7,80.18,70.08,83.51,69.02,7.0205,12.75,0.003395831246060674
2020-04-01,174.17,80.55,70.1,83.41,69.2,7.0708,12.75,0.007139187107031186
2020-05-01,176.54,80.48,70.67,83.28,69.2,7.1016,12.75,0.0043464830923815026
2020-06-01,178.54,81.02,71.06,82.73,69.21,7.0816,9.0,-0.0028202398973791176
2020-07-01,179.59,80.64,70.96,81.6,69.32,7.0041,9.0,-0.011004178997228829
2020-08-01,181.13,80.48,70.9,81.02,69.3,6.927,9.0,-0.011068872836896644
2020-09-01,182.9,80.24,71.06,82.21,69.06,6.8106,9.0,-0.016946597033256336
2020-10-01,186.8,80.22,71.25,82.39,69.14,6.7254,9.0,-0.012588818734244094
2020-11-01,191.09,79.39,71.26,81.72,69.16,6.6029,9.0,-0.018382456806442626
2020-12-01,193.48,79.85,71.43,81.86,69.55,6.5393,15.75,-0.009678820365070147
2021-01-01,196.72,80.96,72.11,80.81,70.16,6.4672,15.75,-0.011086877874289996
2021-02-01,198.5,81.42,72.51,80.97,70.45,6.4601,15.75,-0.0010984506763054057
2021-03-01,200.65,81.76,73.11,81.81,70.74,6.5109,15.75,0.00783289796205354
2021-04-01,204.02,82.18,73.67,82.52,71.04,6.5186,15.75,0.0011819334427854026
2021-05-01,205.82,82.44,73.91,82.27,71.44,6.4321,15.75,-0.013358549936209026
2021-06-01,209.82,82.68,74.01,83.24,71.61,6.425,15.75,-0.001104448238205964
2021-07-01,213.59,83.18,74.33,82.14,71.94,6.4763,15.75,0.007952728853049248
2021-08-01,215.96,83.25,74.52,82.02,72.07,6.4768,15.75,7.720159656730511e-05
2021-09-01,218.71,83.44,75.01,83.77,72.67,6.4563,15.75,-0.0031701629413880667
2021-10-01,223.96,83.95,75.83,84.73,73.63,6.4172,15.75,-0.00607451279472819
2021-11-01,231.83,84.12,76.54,85.01,73.82,6.3889,15.75,-0.004419775898775861
2021-12-01,263.29,84.38,77.17,85.43,74.2,6.3693,15.75,-0.003072536160186464
2022-01-01,292.52,85.11,78.36,85.25,75.24,6.3556,14.75,-0.002153259403746517
2022-02-01,306.58,85.85,78.34,86.05,76.02,6.3436,14.75,-0.001889883389766019
2022-03-01,323.33,88.0,80.62,88.33,77.51,6.3446,14.75,0.00015762677165711864
2022-04-01,346.79,88.65,82.07,90.06,79.34,6.431,14.75,0.013525989738760246
2022-05-01,357.06,89.57,83.38,90.91,80.31,6.699,14.75,0.04082821437340434
2022-06-01,374.67,89.55,84.51,92.91,80.94,6.6952,14.75,-0.0005674097896032368
2022-07-01,383.5,90.18,84.87,91.4,81.31,6.7352,14.75,0.0059566533047899824
2022-08-01,389.05,90.6,85.5,91.22,81.67,6.8007,14.75,0.009678043019135031
2022-09-01,401.1,92.6,86.78,93.92,82.43,7.0195,14.75,0.031666442369416466
2022-10-01,415.33,93.65,88.24,92.75,83.55,7.1902,14.75,0.02402699732790026
2022-11-01,427.41,93.64,88.83,92.5,84.59,7.1812,14.75,-0.0012524877432323017
2022-12-01,432.46,92.48,89.02,91.9,84.68,6.9717,9.75,-0.02960740254244404
2023-01-01,461.35,92.98,90.76,91.47,85.35,6.7904,9.75,-0.026349247474620342
2023-02-01,475.88,93.87,91.82,91.66,86.19,6.838,9.75,0.006985441219637299
2023-03-01,486.83,94.81,92.88,93.1,86.92,6.8909,9.75,0.007706409370761976
2023-04-01,498.51,95.34,93.58,94.13,87.6,6.8876,9.75,-0.0004790071579777946
2023-05-01,498.7,95.21,93.76,94.64,88.02,6.9854,15.75,0.014099563208497829
2023-06-01,518.27,95.59,93.81,95.5,88.43,7.1614,15.75,0.024883235946778715
2023-07-01,567.63,96.05,93.6,94.57,88.57,7.1863,15.75,0.0034709430777679416
2023-08-01,619.09,96.4,93.64,94.39,89.26,7.2486,15.75,0.00863191110849783
2023-09-01,648.45,96.54,93.48,96.16,89.99,7.2979,30.75,0.006778288764726479
2023-10-01,670.67,96.4,93.81,96.27,90.51,7.3071,30.75,0.0012598426863205112
2023-11-01,692.75,95.75,94.4,95.2,90.42,7.2226,35.75,-0.011631479338757364
2023-12-01,713.14,95.94,94.53,95.29,90.62,7.1402,43.25,-0.011474211720057432
2024-01-01,760.88,95.8,94.89,94.41,91.62,7.1707,43.25,0.004262491692221922
2024-02-01,795.41,96.42,95.17,94.53,92.33,7.1935,43.25,0.0031745616390604445
2024-03-01,820.57,97.04,95.4,96.24,92.74,7.2015,43.25,0.0011114971620170254
2024-04-01,846.64,97.62,96.35,97.14,93.07,7.2374,50.75,0.004972688220957373
2024-05-01,875.21,97.83,96.4,96.87,93.1,7.2327,50.75,-0.0006496154366981504
2024-06-01,889.52,98.03,96.56,97.84,93.16,7.2547,50.75,0.003037124247399852
2024-07-01,918.24,98.52,97.35,97.39,93.71,7.2609,50.75,0.0008542534069603803
2024-08-01,940.91,98.42,97.42,97.41,93.97,7.1475,50.75,-0.015741142881257286
2024-09-01,969.11,98.34,97.46,99.15,94.35,7.076,50.75,-0.010053868916790979
2024-10-01,996.99,98.68,97.81,99.22,95.02,7.0881,50.75,0.0017085452578636875
2024-11-01,1019.26,98.06,98.13,98.02,95.32,7.2063,50.75,0.01653832187726809
2024-12-01,1029.82,98.66,98.16,98.1,95.56,7.2807,48.25,0.010271367999593418
2025-01-01,1081.77,98.47,98.98,97.38,96.45,7.2957,48.25,0.002058122073328384
2025-02-01,1106.41,98.95,99.31,97.4,97.11,7.2734,48.25,-0.0030612759079423684
2025-03-01,1133.49,99.32,99.59,99.24,97.45,7.2493,43.25,-0.00331894511662217
2025-04-01,1167.42,99.8,99.94,99.71,97.65,7.2968,43.25,0.006530983402784009
2025-05-01,1185.16,99.88,99.84,100.06,98.13,7.2166,43.25,-0.011051968021380608
2025-06-01,1201.39,99.97,99.89,101.33,98.55,7.1804,43.25,-0.005028836047653018
2025-07-01,1226.16,100.35,100.17,101.03,99.88,7.1741,43.25,-0.000877773576858082
2025-08-01,1251.14,100.42,100.1,100.39,101.97,7.1727,43.25,-0.00019516547305938197
2025-09-01,1291.88,100.65,100.27,100.94,102.48,7.1235,41.25,-0.006882975089711303
2025-10-01,1325.08,100.95,100.58,100.85,103.04,7.12,41.25,-0.0004914522512648004
2025-11-01,1336.38,100.56,100.65,100.78,103.54,7.1069,41.25,-0.0018415823127041868
2025-12-01,1348.17,100.67,100.67,100.91,103.78,7.0432,38.75,-0.009003530761174803
